Step,Action,CPU,Swap,Load,RAM,IOwait,Latency,Reward
71,2,0.4788377583026886,0.0,0.783025324344635,0.2755379378795624,0.0,0.10222522169351578,0.9714749455451965
72,2,0.4595310091972351,0.017975855618715286,0.8338310718536377,0.30284443497657776,0.0,0.1127457246184349,0.9635447263717651
73,2,0.44521641731262207,0.029840465635061264,0.8230425119400024,0.26799121499061584,0.0,0.10915224254131317,0.9637964963912964
74,2,0.474107563495636,0.05766092240810394,0.8209049105644226,0.29967716336250305,0.0,0.08983344584703445,0.9621434211730957
75,4,0.4661659002304077,0.016431041061878204,0.7947712540626526,0.29125386476516724,0.0023037756327539682,0.08812978863716125,0.968879759311676
76,2,0.4748822748661041,0.007804301101714373,0.7790550589561462,0.2962908148765564,0.0,0.07028333097696304,0.9713140726089478
77,4,0.44938817620277405,0.015274208039045334,0.7668624520301819,0.31106266379356384,0.006893572863191366,0.10512092709541321,0.9712742567062378
78,2,0.4383886754512787,0.03651076555252075,0.7439747452735901,0.30019715428352356,0.009899148717522621,0.15501172840595245,0.9664502739906311
79,2,0.49852073192596436,0.04977419227361679,0.7813727855682373,0.28057554364204407,0.0,0.16588744521141052,0.9602965712547302
80,2,0.490024596452713,0.05788475275039673,0.7560265064239502,0.26010292768478394,0.0,0.13780176639556885,0.9648286700248718
81,4,0.49469977617263794,0.00879037007689476,0.7763885855674744,0.2504093647003174,0.0,0.12992598116397858,0.9684895277023315
82,2,0.512482225894928,0.0,0.8099669814109802,0.25054600834846497,0.0,0.10527278482913971,0.9684759974479675
83,2,0.52907794713974,0.0003008542989846319,0.8174251914024353,0.27574729919433594,0.0,0.12300682812929153,0.9659267067909241
84,2,0.5233380198478699,0.0,0.7996708750724792,0.26180756092071533,0.0,0.09450379014015198,0.9700329303741455
85,2,0.5286552906036377,0.005310491193085909,0.8124396204948425,0.24573519825935364,0.0,0.09982813894748688,0.9682250022888184
86,2,0.526016354560852,0.0,0.8268880248069763,0.23867438733577728,0.0,0.12649954855442047,0.9646612405776978
87,2,0.5382618308067322,0.0,0.8435514569282532,0.24728332459926605,0.02941335365176201,0.11035221815109253,0.9646096229553223
88,2,0.5463559627532959,0.0064513119868934155,0.8205388188362122,0.2565338909626007,0.0,0.09673591703176498,0.9673010110855103
89,1,0.5598605871200562,0.0,0.8551380634307861,0.14697521924972534,0.0,0.11057621240615845,0.9634285569190979
90,0,0.517421543598175,0.010327035561203957,0.8225982189178467,0.13418738543987274,0.01188267208635807,0.10868579894304276,0.9658389091491699
91,2,0.5532863140106201,0.010842828080058098,0.8349747657775879,0.10635789483785629,0.0,0.11985886842012405,0.9634323716163635
92,0,0.46854835748672485,0.0,0.8385549187660217,0.09285260736942291,0.006724070757627487,0.13377901911735535,0.9627665877342224
93,3,0.46741247177124023,0.0,0.8540305495262146,0.11755743622779846,0.0019028227543458343,0.054654642939567566,0.9645969271659851
94,1,0.45319920778274536,0.03108741156756878,0.8892554640769958,0.03791562095284462,0.021370280534029007,0.09765473753213882,0.9579657316207886
95,3,0.43763822317123413,0.045706856995821,0.8868163824081421,0.031123893335461617,0.012567223981022835,0.00789561402052641,0.9567476511001587
96,1,0.4397532641887665,0.04651021212339401,0.8924092054367065,0.012928363867104053,0.03145064413547516,0.07997765392065048,0.956108033657074
97,0,0.374051034450531,0.055555425584316254,0.8675543665885925,0.036660827696323395,0.01593407243490219,0.07573481649160385,0.9576890468597412
98,2,0.38520199060440063,0.07538174092769623,0.902439534664154,0.0512634702026844,0.0,0.1177331954240799,0.9504445791244507
99,0,0.3189047873020172,0.05813311040401459,0.8868557810783386,0.03226770833134651,0.020740976557135582,0.11530231684446335,0.9539709091186523
100,3,0.3216058909893036,0.04709107056260109,0.894316554069519,0.03863726183772087,0.0,0.0,0.9558592438697815
101,1,0.3400276303291321,0.03139571473002434,0.8971936702728271,0.0,0.0,0.05091473460197449,0.9571410417556763
102,0,0.2294645458459854,0.03367552533745766,0.9101154804229736,0.025731386616826057,0.02482188493013382,0.056188005954027176,0.9556208848953247
103,3,0.21827082335948944,0.03567548841238022,0.9289286136627197,0.011758889071643353,0.0321589820086956,0.016186045482754707,0.9535396099090576
104,1,0.22896456718444824,0.012751148082315922,0.9544436931610107,0.015822457149624825,0.00799630582332611,0.07458067685365677,0.953280508518219
105,3,0.1789967566728592,0.016372285783290863,0.967228889465332,0.027700426056981087,0.027540458366274834,0.0,0.9516398906707764
106,1,0.17192497849464417,0.009881033562123775,0.982667863368988,0.02066754549741745,0.021593846380710602,0.04173615202307701,0.9507451057434082
107,3,0.1482219249010086,0.021780166774988174,0.9432135224342346,0.019882159307599068,0.0,0.0,0.9535006284713745
108,1,0.1325034648180008,0.005456927232444286,0.9180887341499329,0.008650421164929867,0.0064495946280658245,0.014498303644359112,0.9576454162597656
109,3,0.16204151511192322,0.0,0.945270836353302,0.0,0.029198821634054184,0.0,0.9554729461669922
110,3,0.15103505551815033,0.0058029815554618835,0.9392651319503784,0.02291177771985531,0.04555399715900421,0.0,0.9554932117462158
111,3,0.14051221311092377,0.0,0.9391382336616516,0.03782618045806885,0.04127363860607147,0.02372659742832184,0.9560861587524414
112,3,0.12406419962644577,0.0,0.9328466057777405,0.032997626811265945,0.02449910342693329,0.013587000779807568,0.9567153453826904
113,3,0.12207133322954178,0.022653257474303246,0.9148097038269043,0.05024530366063118,0.031789835542440414,0.0,0.956253707408905
114,2,0.13419970870018005,0.024392597377300262,0.8830868005752563,0.056819476187229156,0.0,0.0,0.9592520594596863
115,1,0.1573759764432907,0.029731886461377144,0.8806031346321106,6.2972917476145085e-06,0.01431024819612503,0.02445227839052677,0.9589664936065674
116,3,0.15083882212638855,0.03877110406756401,0.8911134004592896,0.0016754978569224477,0.011082427576184273,0.004748585168272257,0.9570115208625793
